,sub_specie,endangered,claw_length_cm,size_cm,tail_length_cm,weight_kg
0,Maned three-toed sloth,vulnerable,5.746,65.815,5.069,4.175
1,Maned three-toed sloth,vulnerable,9.977,63.677,5.464,4.976
2,Maned three-toed sloth,vulnerable,8.857,64.526,6.742,5.847
3,Maned three-toed sloth,vulnerable,8.941,63.789,5.25,7.087
4,Maned three-toed sloth,vulnerable,7.825,63.747,5.422,4.951
5,Maned three-toed sloth,vulnerable,7.016,66.549,3.458,6.009
6,Maned three-toed sloth,vulnerable,6.075,62.638,3.914,7.218
7,Maned three-toed sloth,vulnerable,8.178,63.911,4.035,5.913
8,Maned three-toed sloth,vulnerable,6.514,64.194,5.8,6.635
9,Maned three-toed sloth,vulnerable,7.306,61.993,4.181,4.051
10,Maned three-toed sloth,vulnerable,4.947,63.264,3.379,6.891
11,Maned three-toed sloth,vulnerable,7.925,62.745,5.687,4.664
12,Maned three-toed sloth,vulnerable,6.789,63.175,5.129,4.799
13,Maned three-toed sloth,vulnerable,7.139,64.098,3.992,6.427
14,Maned three-toed sloth,vulnerable,7.098,61.599,5.114,5.93
15,Maned three-toed sloth,vulnerable,6.801,63.303,2.107,5.101
16,Maned three-toed sloth,vulnerable,7.99,63.415,3.887,4.246
17,Maned three-toed sloth,vulnerable,8.055,62.183,4.548,4.784
18,Maned three-toed sloth,vulnerable,7.213,62.6,5.874,7.646
19,Maned three-toed sloth,vulnerable,8.192,63.249,5.283,5.963
20,Maned three-toed sloth,vulnerable,8.5,62.524,5.003,5.21
21,Maned three-toed sloth,vulnerable,4.628,61.865,2.616,3.752
22,Maned three-toed sloth,vulnerable,8.598,63.073,4.241,6.086
23,Maned three-toed sloth,vulnerable,6.629,63.003,5.885,4.529
24,Maned three-toed sloth,vulnerable,10.012,63.308,4.028,4.44
25,Maned three-toed sloth,vulnerable,7.919,63.978,5.069,6.986
26,Maned three-toed sloth,vulnerable,8.543,61.204,5.642,6.157
27,Maned three-toed sloth,vulnerable,6.928,64.074,4.99,4.545
28,Maned three-toed sloth,vulnerable,8.1,62.491,5.675,6.826
29,Maned three-toed sloth,vulnerable,7.637,65.444,5.307,5.37
30,Maned three-toed sloth,vulnerable,8.584,65.054,6.456,4.577
31,Maned three-toed sloth,vulnerable,8.004,64.306,6.093,7.441
32,Maned three-toed sloth,vulnerable,6.976,63.189,4.905,7.146
33,Maned three-toed sloth,vulnerable,7.791,63.942,5.947,8.005
34,Maned three-toed sloth,vulnerable,6.438,63.834,4.653,5.707
35,Maned three-toed sloth,vulnerable,8.11,63.708,5.672,4.297
36,Maned three-toed sloth,vulnerable,7.563,63.22,5.225,5.948
37,Maned three-toed sloth,vulnerable,8.003,63.146,3.655,6.49
38,Maned three-toed sloth,vulnerable,7.467,64.823,4.544,4.726
39,Maned three-toed sloth,vulnerable,7.483,63.974,5.24,6.594
40,Maned three-toed sloth,vulnerable,7.129,64.528,5.328,5.412
41,Maned three-toed sloth,vulnerable,7.154,64.282,4.861,4.336
42,Maned three-toed sloth,vulnerable,8.978,61.977,4.151,5.635
43,Maned three-toed sloth,vulnerable,7.268,61.703,4.935,4.902
44,Maned three-toed sloth,vulnerable,7.045,62.952,5.412,3.441
45,Maned three-toed sloth,vulnerable,6.674,64.169,4.574,4.937
46,Maned three-toed sloth,vulnerable,5.298,64.139,6.986,5.864
47,Maned three-toed sloth,vulnerable,6.765,64.484,7.348,5.356
48,Maned three-toed sloth,vulnerable,7.215,65.057,3.841,4.695
49,Maned three-toed sloth,vulnerable,9.341,63.135,5.712,6.341
50,Maned three-toed sloth,vulnerable,7.003,62.148,4.887,7.478
51,Maned three-toed sloth,vulnerable,7.126,62.356,2.835,6.246
52,Maned three-toed sloth,vulnerable,6.039,63.989,5.699,5.608
53,Maned three-toed sloth,vulnerable,7.652,63.205,6.265,5.159
54,Maned three-toed sloth,vulnerable,7.084,65.176,4.118,6.094
55,Maned three-toed sloth,vulnerable,6.884,62.845,4.214,5.512
56,Maned three-toed sloth,vulnerable,7.156,63.034,5.713,6.79
57,Maned three-toed sloth,vulnerable,6.631,63.738,5.652,5.804
58,Maned three-toed sloth,vulnerable,8.3,62.134,3.748,5.703
59,Maned three-toed sloth,vulnerable,7.669,62.638,4.821,5.32
60,Maned three-toed sloth,vulnerable,5.872,64.69,4.964,7.565
61,Maned three-toed sloth,vulnerable,7.196,63.364,4.786,4.651
62,Maned three-toed sloth,vulnerable,7.046,64.604,3.823,5.493
63,Maned three-toed sloth,vulnerable,6.4,65.015,6.268,5.977
64,Maned three-toed sloth,vulnerable,6.432,63.064,5.732,5.978
